GENUS,PHYLUM,ORDER
Lautropia,Pseudomonadota,Burkholderiales
Limnobacter,Pseudomonadota,Burkholderiales
Mycetohabitans,Pseudomonadota,Burkholderiales
Mycoavidus,Pseudomonadota,Burkholderiales
Pandoraea,Pseudomonadota,Burkholderiales
Paraburkholderia,Pseudomonadota,Burkholderiales
Polynucleobacter,Pseudomonadota,Burkholderiales
Ralstonia,Pseudomonadota,Burkholderiales
Leptothrix,Pseudomonadota,Burkholderiales
Paucibacter,Pseudomonadota,Burkholderiales
Rhizobacter,Pseudomonadota,Burkholderiales
Tepidimonas,Pseudomonadota,Burkholderiales
Thiomonas,Pseudomonadota,Burkholderiales
Xylophilus,Pseudomonadota,Burkholderiales
Acidovorax,Pseudomonadota,Burkholderiales
Alicycliphilus,Pseudomonadota,Burkholderiales
Comamonas,Pseudomonadota,Burkholderiales
Delftia,Pseudomonadota,Burkholderiales
Diaphorobacter,Pseudomonadota,Burkholderiales
Hydrogenophaga,Pseudomonadota,Burkholderiales
Kinneretia,Pseudomonadota,Burkholderiales
Limnohabitans,Pseudomonadota,Burkholderiales
Melaminivora,Pseudomonadota,Burkholderiales
Ottowia,Pseudomonadota,Burkholderiales
Polaromonas,Pseudomonadota,Burkholderiales
Pulveribacter,Pseudomonadota,Burkholderiales
Ramlibacter,Pseudomonadota,Burkholderiales
