parent,node,PHYLUM,ORDER,GENUS
Sphingomonadales,Pelagerythrobacter,,,Pelagerythrobacter
Sphingomonadales,Qipengyuania,,,Qipengyuania
Sphingomonadales,Tsuneonella,,,Tsuneonella
Sphingomonadales,Aquisediminimonas,,,Aquisediminimonas
Sphingomonadales,Blastomonas,,,Blastomonas
Sphingomonadales,Citromicrobium,,,Citromicrobium
Sphingomonadales,Hankyongella,,,Hankyongella
Sphingomonadales,Novosphingobium,,,Novosphingobium
Sphingomonadales,Novosphingopyxis,,,Novosphingopyxis
Sphingomonadales,Parasphingopyxis,,,Parasphingopyxis
Sphingomonadales,Parasphingorhabdus,,,Parasphingorhabdus
Sphingomonadales,Rhizorhabdus,,,Rhizorhabdus
Sphingomonadales,Sphingobium,,,Sphingobium
Sphingomonadales,Sphingomonas,,,Sphingomonas
Sphingomonadales,Sphingopyxis,,,Sphingopyxis
Sphingomonadales,Sphingorhabdus,,,Sphingorhabdus
Sphingomonadales,Sphingosinithalassobacter,,,Sphingosinithalassobacter
